disasterno,Country,Location,Disaster type,Date,Year,Total deaths,Latitude,Longitude
2000-0048,Botswana, Lobaste,Flood,2000-01-02,2000,3.0,-25.21379877,25.68549914
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.5470095,27.48212525
2000-0048,Botswana, Mahalapye,Flood,2000-01-02,2000,3.0,-23.25990197,26.33293846
2000-0048,Botswana,Selibe-Phikwe,Flood,2000-01-02,2000,3.0,-21.97918814,27.84895927
2000-0048,Botswana, Tlokweng,Flood,2000-01-02,2000,3.0,-24.97241921,25.77204255
2000-0048,Botswana, Gaborone,Flood,2000-01-02,2000,3.0,-24.61961963,25.93114972
2000-0048,Botswana, Kweneng,Flood,2000-01-02,2000,3.0,-23.86278543,24.68633655
2000-0048,Botswana, Mabutsane,Flood,2000-01-02,2000,3.0,-24.59440679,24.10048232
2000-0048,Botswana, Francistowa,Flood,2000-01-02,2000,3.0,-21.01455213,27.56760204
2000-0048,Botswana, Kgarleng,Flood,2000-01-02,2000,3.0,-24.15241759,26.35184209
2000-0048,Botswana, Kgalagadi,Flood,2000-01-02,2000,3.0,-24.85626422,21.75346845
2000-0048,Botswana, Lobaste,Flood,2000-01-02,2000,3.0,-25.21379877,25.68549914
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.5470095,27.48212525
2000-0048,Botswana, Mahalapye,Flood,2000-01-02,2000,3.0,-23.25990197,26.33293846
2000-0048,Botswana,Selibe-Phikwe,Flood,2000-01-02,2000,3.0,-21.97918814,27.84895927
2000-0048,Botswana, Tlokweng,Flood,2000-01-02,2000,3.0,-24.97241921,25.77204255
2000-0048,Botswana, Gaborone,Flood,2000-01-02,2000,3.0,-24.61961963,25.93114972
2000-0048,Botswana, Kweneng,Flood,2000-01-02,2000,3.0,-23.86278543,24.68633655
2000-0048,Botswana, Mabutsane,Flood,2000-01-02,2000,3.0,-24.59440679,24.10048232
2000-0048,Botswana, Francistowa,Flood,2000-01-02,2000,3.0,-21.01455213,27.56760204
2000-0048,Botswana, Kgarleng,Flood,2000-01-02,2000,3.0,-24.15241759,26.35184209
2000-0048,Botswana, Kgalagadi,Flood,2000-01-02,2000,3.0,-24.85626422,21.75346845
2000-0048,Botswana, Lobaste,Flood,2000-01-02,2000,3.0,-25.21379877,25.68549914
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.5470095,27.48212525
2000-0048,Botswana, Mahalapye,Flood,2000-01-02,2000,3.0,-23.25990197,26.33293846
2000-0048,Botswana,Selibe-Phikwe,Flood,2000-01-02,2000,3.0,-21.97918814,27.84895927
2000-0048,Botswana, Tlokweng,Flood,2000-01-02,2000,3.0,-24.97241921,25.77204255
2000-0048,Botswana, Gaborone,Flood,2000-01-02,2000,3.0,-24.61961963,25.93114972
2000-0048,Botswana, Kweneng,Flood,2000-01-02,2000,3.0,-23.86278543,24.68633655
2000-0048,Botswana, Mabutsane,Flood,2000-01-02,2000,3.0,-24.59440679,24.10048232
2000-0048,Botswana, Francistowa,Flood,2000-01-02,2000,3.0,-21.01455213,27.56760204
2000-0048,Botswana, Kgarleng,Flood,2000-01-02,2000,3.0,-24.15241759,26.35184209
2000-0048,Botswana, Kgalagadi,Flood,2000-01-02,2000,3.0,-24.85626422,21.75346845
2000-0048,Botswana, Lobaste,Flood,2000-01-02,2000,3.0,-25.21379877,25.68549914
2000-0048,Botswana, Serowe/palapye,Flood,2000-01-02,2000,3.0,-22.04843595,26.36991464
